Name,Description,Size,Script: On Execute,Gadget,Slots,NEED TOTAL?,Colour,Upgrade,Weaken,Alternate Status Trigger,SFX,Uses?,Cast Backwards?,Single use?,Tags,Witch Spell,Script: Before Combat,Script: After Combat,Script: Before Start Turn,Script: On Start Turn,Script: On any equipment use,Script: On any countdown reduce,Script: End Turn,Script: Before execute,Script: On Snap,Script: On Fury,Script: On Dodge
Locklance,Deal [sword]1 damage|Split dice in two,1,givedice(split(d)[;] ~splitdice~); attack(1); sfxdamage(target[;]1);,Magic Dice,MIN2,,GREEN,change_power,change_power,,none,0,NO,NO,,1,,,,,,,,,,,givedice(split(d)[;] ~splitdice~);
Locklance_upgraded,[sword]1 damage[;] split dice|On 6[;] split into 3,1,if(d==6){ givedice(split(d[;] 3)[;] ~splitdice~); } else { givedice(split(d)[;] ~splitdice~); } attack(1); sfxdamage(target[;]1);,Magic Dice,MIN2,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,givedice(split(d)[;] ~splitdice~);
Locklance_downgraded,Deal [sword]1 damage|Split dice in two,1,givedice(split(d)[;] ~splitdice~); attack(1); sfxdamage(target[;]1);,Magic Dice,MIN4,,GREEN,,,,,0,NO,NO,,,,,,,,,,,,,givedice(split(d)[;] ~splitdice~);
drowS,egamad <flipd6>[sword] laeD|sdrawkcab tub...,1,attack(7-d); sfxdamage(target[;]7-d);,Plasma Gun,MIN2,,RED,change_power,change_power,,none,0,NO,NO,,1,,,,,,,,,,,
drowS_upgraded,tub egamad <flipd6>[sword] laeD|ecid eht nruter [;]sdrawkcab ,1,attack(7-d); sfxdamage(target[;]7-d); givedice(d);,Plasma Gun,MIN2,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
drowS_downgraded,egamad <flipd6>[sword] laeD|sdrawkcab tub...,1,attack(7-d); sfxdamage(target[;]7-d);,Plasma Gun,MIN4,,RED,,,,none,0,NO,NO,,,,,,,,,,,,,
Shield Scrap,Split your [shield]shield|into random dice,1,if(simulation){bonus(getstatusself(SHIELD) * 100);}else{var s = getstatusself(SHIELD); var a = []; attackself(s); while(s>0){ if(s>6){ var r=rand([1[;]2[;]3[;]4[;]5[;]6]); a.push(r); s-=r; }else{ a.push(s); givedice(a); s=0; break; } }; };,Barricade,EVEN,,ORANGE,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Shield Scrap_upgraded,Split your [shield]shield|into random dice,1,if(simulation){bonus(getstatusself(SHIELD) * 100);}else{var s = getstatusself(SHIELD); var a = []; attackself(s); while(s>0){ if(s>6){ var r=rand([1[;]2[;]3[;]4[;]5[;]6]); a.push(r); s-=r; }else{ a.push(s); givedice(a); s=0; break; } }; };,Barricade,NORMAL,,ORANGE,,,,,0,YES,NO,,,,,,,,,,,,,
Shield Scrap_downgraded,Split your [shield]shield|into random dice,1,if(simulation){bonus(getstatusself(SHIELD) * 100);}else{var s = getstatusself(SHIELD); var a = []; attackself(s); while(s>0){ if(s>6){ var r=rand([1[;]2[;]3[;]4[;]5[;]6]); a.push(r); s-=r; }else{ a.push(s); givedice(a); s=0; break; } }; };,Barricade,REQUIRE4,,ORANGE,,,,,0,YES,NO,,,,,,,,,,,,,
Shield Synthesis,Gain [shield]2 shield|On 6[;] gain [shield]4 instead,1,if(d == 6){ inflictself(SHIELD|2); }else{inflictself(SHIELD|4);}; sfx(~_shield~);,Barricade,EVEN,,ORANGE,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Shield Synthesis_upgraded,Gain [shield]2 shield|On 6[;] gain [shield]4 instead,1,if(d == 6){ inflictself(SHIELD|2); }else{inflictself(SHIELD|4);}; sfx(~_shield~);,Barricade,NORMAL,,ORANGE,,,,,0,YES,NO,,,,,,,,,,,,,
Shield Synthesis_downgraded,Gain [shield]2 shield,1,inflictself(SHIELD|2); sfx(~_shield~);,Barricade,EVEN,,ORANGE,,,,,0,YES,NO,,,,,,,,,,,,,
Pry Bar,Reduce countdowns by 2|[grey](2 uses this turn),1,boostcountdowns(2);,Accelerate,COUNTDOWN,7,GREEN,change_power,change_power,,,3,YES,NO,,,,,,,,,,,,,
Pry Bar_upgraded,Reduce countdowns by 2|[grey](Reusable),1,boostcountdowns(2);,Accelerate,COUNTDOWN,7,GREEN,,,,,-1,YES,NO,,,,,,,,,,,,,
Pry Bar_downgraded,Reduce countdowns by 2,1,boostcountdowns(2);,Accelerate,COUNTDOWN,7,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Paintbrush,Roll an extra dice,1,givedice();,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,change_power,change_power,fire,,0,YES,NO,,,,,,,,,,,,,
Paintbrush_upgraded,Roll an extra dice|[gray](2 uses this turn),1,givedice();,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,,,,,2,YES,NO,,,,,,,,,,,,,
Paintbrush_downgraded,Roll an extra|[fire]burning dice,1,givedice(); if(!simulation){var last; for(mydice in self.dicepool){if(mydice.available()){last = mydice;};}; last.animate(~fire~);};,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,,,,,0,YES,NO,,,,,,,,,,,,,
Paintbrush?,Roll an extra dice,1,givedice();,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,change_power,change_power,,,0,YES,NO,,,,,,,,,,,,,
Paintbrush?_upgraded,Roll an extra dice|[gray](2 uses this turn),1,givedice();,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,,,,,2,YES,NO,,,,,,,,,,,,,
Paintbrush?_downgraded,Roll an extra|[fire]burning dice,1,givedice(); if(!simulation){var last; for(mydice in self.dicepool){if(mydice.available()){last = mydice;};}; last.animate(~alternate_fire~);};,Magic Dice,COUNTDOWN,4,BRIGHTCYAN,,,,,0,YES,NO,,,,,,,,,,,,,
Budge,Odd: dice value +1|Even: dice value -1,1,if(d%2 == 0){ givedice(d-1); } else { givedice(d+1); };,Magic Dice,NORMAL,,GREEN,change_power,change_power,,,0,YES,NO,,1,,,,,,,,,,,
Budge_upgraded,Odd: value +1[;] Even: value -1|[grey](3 uses this turn),1,if(d%2 == 0){ givedice(d-1); } else { givedice(d+1); };,Magic Dice,NORMAL,,GREEN,,,,,3,YES,NO,,,,,,,,,,,,,
Budge_downgraded,Odd: dice value +1|Even: dice value -1,1,if(d%2 == 0){ givedice(d-1); } else { givedice(d+1); };,Magic Dice,MIN4,,GREEN,,,,,0,YES,NO,,,,,,,,,,,,,
Snippers,Deal [sword]1 damage|Split dice evenly in 2,1,givedice([d/2[;]d/2]); attack(1); sfx(~_lock~);,Magic Dice,EVEN,,GREEN,change_power,change_power,,,0,NO,NO,,1,,,,,,,,,,,givedice([d/2[;]d/2]); 
