ID,Character,Level,Episode Name,Description,Rules Description,Equipment,Layout,Skillcard,Limit,Weakened Limit,Dice,Health,Generator,Super Level 2,Super Level 3,Super Level 4,Super Level 5,Cutscene,Script: Define Level Up Rewards,Script: Start Game,Script: After Level Up,Script: Change Floor,Script: Before Start Turn,Script: On Start Turn,Script: End Turn,Script: Start Combat,Script: After Combat
diceydungeons_warrior_1,Warrior,1,The Warrior's Welcome,A straightforward adventure for a straightforward warrior.,Standard Rules.,Sword,EQUIPMENT,Combat Roll,Fury,Tantrum,2,24,warrior_normal,0,0,0,0,warrior1,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Spiked Shield~[;]~Equipment:Boomerang~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Shield Bash~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,Rules.includerareenemies = false; Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~warrior1~));,,,,,,,
diceydungeons_warrior_2,Warrior,2,Curse of Greed,You've got two battle axes and all your equipment is|upgraded! Awesome! Also[;] you're extremely cursed!,Start with two upgraded [yellow]Battle Axes[].|[100%]All equipment you find is upgraded.|Inflicted with [curse]Curse[] at the start of every turn.,Battle Axe+|Battle Axe+,EQUIPMENT,Combat Roll,Fury,Tantrum,2,24,warrior_normal,0,0,0,0,warrior2,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Spiked Shield+~[;]~Equipment:Boomerang+~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Shield Bash+~[;]~Equipment:Pirate Hook+~|~Equipment:Midnight Charm+~]); leveluprewards(6[;] ~Dice~); ,Rules.addplayerinnatestatus(CURSE); Rules.upgradeplayerequipment = true;  Rules.substitute(~upgrade~[;] ~copyshop~); Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~warrior2~));,,,,,,,
diceydungeons_warrior_3,Warrior,3,Worse than a Curse,You seem pretty tough! Do you really need all that health?|Nah[;] you'll be fine without it.,Start with a [yellow]Venus Fly Trap[].|Lose [heart]2[] max hp when you level up.,Venus Fly Trap,EQUIPMENT,Combat Roll,Fury,Tantrum,2,24,warrior_normal,0,1,0,0,warrior2,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Spiked Shield~[;]~Equipment:Iron Shield~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Shield Bash~[;] ~Equipment:Last Stand~]); leveluprewards(6[;] ~Dice~); ,Rules.hpchangeonlevelup = -2;  Rules.lowhpmusic = false; Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~warrior3~));,,,,,,,
diceydungeons_warrior_4,Warrior,4,The Elimination Round,You've got your usual equipment[;] usual health[;] everything.|It's a shame all your enemies have extra health and|upgraded weapons.,[100%]Enemies get 10% extra health.|[100%]All enemy equipment is upgraded.,Sword,EQUIPMENT,Combat Roll,Fury,Tantrum,2,24,warrior_normal,0,0,0,0,warrior2,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Spiked Shield~[;]~Equipment:Boomerang~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Shield Bash~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,Rules.enemyhpadjust = 1.1; Rules.upgradeenemyequipment = true; Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~warrior4~));,,,,,,,
diceydungeons_warrior_5,Warrior,5,Parallel Universe,Woah[;] everything's different! ,[100%]Enemies get 10% extra health.|Status effects work differently.|All of the equipment has been changed.,Rusty Sword,EQUIPMENT,Combat Spatula,Fury?,Tantrum,2,24,warrior_paralleluniverse,1,1,0,0,warrior3,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Crescent Moon Blade~[;]~Equipment:Polar Star~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Battering Ram~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,Rules.setalternate(~all~); Rules.enemyhpadjust = 1.1; Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~warrior5~));,,,,,,,
diceydungeons_warrior_6,Warrior,6,Bonus Round,Everything's back to normal again! Until you go down|a floor - the further you go into the dungeons[;] the more|the rules change...,Start with standard rules.|Gain bonus rules as you descend further.,,EQUIPMENT,Combat Roll,Fury,Tantrum,2,24,warrior_remixgenerator|remixrules,0,0,0,0,,chooseinitialequipment(getcolumn(loaddata(~diceydungeons/initialequipment/warrior~)[;] ~init~)); leveluprewards(2[;] ~Dice~); leveluprewards(4[;] ~Dice~); leveluprewards(6[;] ~Dice~); ,Rules.remix = true; Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~warrior6~));,,if(getcurrentfloor() == 2 # (getcurrentfloor() > 2 && descendingfromcontinue())) { var rewards = loaddata(~diceydungeons/initialequipment/warrior~); var rewards1 = getcolumn(rewards[;] ~rewards1~); var rewards2 = getcolumn(rewards[;] ~rewards2~); rewards1 = shuffle(rewards1); rewards2 = shuffle(rewards2); for(r in rewards1){ if(levelupselections.indexOf(r) != -1) rewards1.remove(r); } for(r in rewards2){ if(levelupselections.indexOf(r) != -1) rewards2.remove(r); } leveluprewards(3[;] ~~[;] rewards1[;] 2); leveluprewards(5[;] ~~[;] [rewards2.pop()[;] ~Upgrade~]); },,,,,
diceydungeons_thief_1,Thief,1,Thief in the Night,Business as usual: get in[;] rob a few enemies[;] defeat the|boss[;] get out.,Standard Rules.,Dagger|Lockpick,EQUIPMENT,Thief Stolen Card,Unlucky Roll,Very Unlucky Roll,2,24,thief_normal,0,0,0,0,thief1,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Poison Needle~[;]~Equipment:Crowbar~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Skeleton Key~[;] ~Equipment:Hacksaw~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,Rules.includerareenemies = false; Rules.includeenemies([~Alchemist~]); Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~thief1~));,,,,,,,
diceydungeons_thief_2,Thief,2,Finders Keepers,Get those pickpocketing fingers ready - this time[;] you're|stealing for keeps.,You can keep enemy equipment after each fight.,Dagger|Lockpick,EQUIPMENT,Finders Keepers,Hook,Hook,2,24,thief_finderskeepers,0,0,0,0,thief2,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Poison Needle~[;]~Equipment:Crowbar~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Skeleton Key~[;] ~Equipment:Hacksaw~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~thief2~));,,,,,,,
diceydungeons_thief_3,Thief,3,Uptick,On your first turn[;] all your dice roll 1. On your second[;]|they roll 2. Third time lucky? Nope[;] third time you roll a 3.,On your first turn[;] all dice rolls are 1.|Second turn[;] all dice rolls are 2.|... and so on.,Dagger|Lockpick,EQUIPMENT,Uptick@1,Trips,Very Unlucky Roll,2,24,thief_uptick,0,1,0,0,thief2,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Kunai~[;] ~Equipment:Hall of Mirrors~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Backstab~[;] ~Equipment:Hacksaw~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,self.setvar(~uptick~|1); Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~thief3~));,,,var uptick = self.getvar(~uptick~); Rules.stackplayerdice([[uptick]][;] true); self.replaceskillcard(~Uptick@~ + uptick);,,var uptick = self.getvar(~uptick~) + 1; if(uptick >=7) uptick = 1; self.setvar(~uptick~[;] uptick);,,var uptick = self.getvar(~uptick~) + 1; if(uptick >=7) uptick = 1; self.setvar(~uptick~[;] uptick);
diceydungeons_thief_4,Thief,4,The Elimination Round,You've got your usual equipment[;] usual health[;] everything.|It's a shame all your enemies have extra health and|upgraded weapons.,[100%]Enemies get 10% extra health.|[100%]All enemy equipment is upgraded.,Dagger|Lockpick,EQUIPMENT,Thief Stolen Card,Unlucky Roll,Very Unlucky Roll,2,24,thief_normal,0,0,0,0,thief2,leveluprewards(2[;] ~Dice~); leveluprewards(3[;] ~~[;] [~Equipment:Poison Needle~[;]~Equipment:Crowbar~]); leveluprewards(4[;] ~Dice~); leveluprewards(5[;] ~~[;] [~Equipment:Skeleton Key~[;] ~Equipment:Hacksaw~[;] ~Upgrade~]); leveluprewards(6[;] ~Dice~); ,Rules.enemyhpadjust = 1.1; Rules.upgradeenemyequipment = true; Rules.excludeenemies(getcolumn(loaddata(~diceydungeons/excludedenemies~)[;] ~thief4~));,,,,,,,
